key,value
n-1-34,"Kate can often be found admiring herself in the mirror. 

How do you feel when you look in the mirror?"
n-1-35,"Rupert thinks everyone has forgotten his birthday.

How would you feel if everyone forgot your birthday?"
n-1-36,"Mizumi is writing a song about love and needs help.

Share some things about love that she could put in her song."
n-1-37,"Sometimes it is hard for Jose to be honest.

Tell about a time when you found it hard to be honest."
n-1-38,"Michelle refuses to enter the contest because she doesn't like to lose.

Say something about losing."
n-1-39,"Gene felt left out when his friends went to the picnic without him.

When do you feel left out?"
a-1-40,"Pippa felt tricked by Matthew and wanted to get revenge.

Did you ever want to get revenge? Talk about it."
a-1-41,"When Aaron wants attention, he pouts and cries.

What do you think his friends should do?"
w-1-42,"Dad says, ""You can learn from the past.""

What have you learned from your past?"
n-1-43,"Liz talks so much that she doesn't listen to others.

Talk about someone who listens when you talk to them."
n-1-44,"When Mike compares himself to others, he doesn't like himself.

Do you like yourself? Why?"
n-1-45,"Lydia's friends gave her some pills.

What would you do if your friend gave you some pills and asked you to take them? Why?"
n-1-46,"Mark broke his mother's vase and blamed his little brother.

Have you ever been blamed for something you did not do? Talk about it."
w-1-47,"Vanessa loves to give advice to her friends.

Whose advice do you listen to?"
n-1-48,"Robin feels angry when someone teases her.

When do you feel angry?"
n-1-49,"Elon wants to go to Disneyworld but can't afford to go.

What is something you want to do but can't afford to do?"
n-1-50,"Danny and his brother are afraid of ghosts.

What do you think of ghosts?"
w-1-51,"Dwayne says, ""You can never learn enough.""

Do you agree or disagree? Why?"
n-1-52,"Sometimes Eric teases Kenny.

How do you feel when someone teases you?"
n-1-53,"Sometimes Sophie has nightmares.

Tell about a nightmare you remember."
n-1-54,"Sometimes Eric feels jealous when his friend gets something he doesn't.

If you have ever been jealous, talk about it."
n-1-55,"Mark tells Priscilla he has a ""happiness pill.""

Do you think a pill can make someone happy? Talk about it."
n-1-56,"When Peter had failing grades on his report card, he was very sad.

Talk about grades and report cards."
n-1-57,"Taylor tried to talk Dustin into doing something wrong.

Do your friends ever try to talk you into doing things that are wrong? Talk about it."
w-1-58,"Vincent has a talent for oil painting.

What are some of your talents?"
w-1-59,"Rose loves to sing her favourite song for her friends.

What is your favourite song and why do you like it?"
w-1-60,"Marty thinks an ""adventure"" is doing something new and unusual.

Tell about an adventure in your life."
n-1-61,"Jason wants to go camping so he can sleep in a tent.

What do you think about camping?"
w-1-62,"Henry doesn't know which holiday is his favourite.

What is your favourite holiday? Why do you like it?"
n-1-63,"Judith must do her chores before she can play.

How do you feel about doing chores?"
n-1-64,"Sadie wants Vera to enter a race to compete with her.

Say something about competition."
n-1-65,"When Marcel gave something away, he expected to receive something in return.

When you give something away, do you expect to get something back? Why?"
w-1-66,"Louis enjoyed doing a good deed for his neighbour.

Tell about a good deed you have done."
n-1-67,"David does not like to speak in front of his class. He says he lacks confidence.

Talk about confidence."
n-1-68,"Robin carries a rabbit's foot for good luck.

Do you believe in good luck charms?"
n-1-69,"Paul wants to be grown up but learns that adults have a lot of responsibility.

What responsibilities do you think adults have?"
w-1-70,"Trixie likes to curl up with her favourite book and read.

Tell about your favourite book or story and why you like it."
n-1-71,"Donald thinks he would be the happiest person in the world if he had a lot of money.

How would you feel if you had a lot of money? What would you do with it?"
